Dish_Name,Diet_Type,Ingredients_Text
homemade baked beans recipe (wholesome & healthy),Vegetarian,"250 grams Dry beans - (such as cannellini or soya beans),1 teaspoon Extra Virgin Olive Oil,1 Onion - finely chopped,1 clove Garlic - grated,500 grams Tomatoes - pureed,1 tablespoon Honey - or more to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Dried oregano,1/4 teaspoon Red Chilli powder - or cayenne pepper,Salt and Pepper - (coarsely pounded pepper) to taste"
veg chili cheese burgers recipe,Vegetarian,"2 Burger buns,5 Pickled Jalapenos - sliced,2 Cheese Slices,2 Potatoes (Aloo) - pressure cooked,1 Onion - chopped,1 tablespoon Red Chilli powder,Salt - to taste,1 Whole Egg,1/2 cup Whole Wheat Bread crumbs,4 cloves Garlic - chopped,1 Onions - chopped,2 Tomatoes - chopped,1 cup Homemade tomato puree,1 Green Bell Pepper (Capsicum) - chopped,1/2 cup Soy granules,1 tablespoon Red Chilli powder,1 teaspoon Red Chilli flakes,1 tablespoon Cumin powder (Jeera),1 tablespoon Dried oregano,1 tablespoon Tabasco Original - Hot Sauce,1 teaspoon Honey,Salt - to taste,Sunflower Oil"
andhra style ingavu chaaru recipe - asafoetida flavored tamarind rasam,Vegetarian,"2 cup Tamarind Water,1/2 cup Arhar dal (Split Toor Dal),1 teaspoon Asafoetida (hing),Salt - to taste,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Methi Seeds (Fenugreek Seeds),1 sprig Curry leaves,1 pinch Asafoetida (hing),Sunflower Oil - for cooking"
aar macher jhol recipe - bengali style fish in tomato gravy,High Protein Non Vegetarian,"600 grams Aar Maach (fish) - rohu/ katla fish (cut into thick steaks),1 Tomato - finely chopped,2 Bay leaves (tej patta),1-1/2 tablespoons Ginger - paste,4 Green Chillies - coarsely crushed,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),Salt - to taste,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Turmeric powder (Haldi),2 Green Chillies - slit lengthwise,Mustard oil - as required,1-1/4 cups Water - add 2 cups if you like a loose gravy,Sugar - a pinch (optional),1 tablespoon Coriander (Dhania) Leaves - optional"
saunf aloo (fennel potato curry) recipe,Vegetarian,"5 Potatoes (Aloo) - halved with skin,2 teaspoon Fennel seeds (Saunf) - crushed,2 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1/4 cup Fresh cream - or 1/2 cup milk,4 sprig Coriander (Dhania) Leaves - finely chopped"
साउथ इंडियन प्याज चटनी रेसिपी - south indian onion chutney (recipe in hindi),Vegetarian,"2 प्याज,1 छोटा चमच्च जीरा,2 बड़े चमच्च काली उरद दाल (स्प्लिट),1 बड़ा चमच्च इमली का पेस्ट,3 सुखी लाल मिर्च,1/2 छोटा चमच्च गुड़,2 छोटे चमच्च तेल,नमक - स्वाद अनुसार,1 छोटा चमच्च राइ,1 टहनी कढ़ी पत्ता,1/2 छोटा चमच्च तेल"
hariyali egg curry recipe in coriander and mint gravy,Eggetarian,"4 Whole Eggs - boiled,1 Cinnamon Stick (Dalchini) - small,1 Bay leaf (tej patta),2 Cloves (Laung),1 tablespoon Sunflower Oil,2 teaspoons Coriander Powder (Dhania),1 teaspoon Garam masala powder,2 tablespoons Fresh cream,2 cups Coriander (Dhania) Leaves - tightly packed,1 cup Mint Leaves (Pudina) - chopped,2 Green Chillies - chopped,1 Onion - roughly chopped,1 inch Ginger - chopped,4 cloves Garlic"
लौकी रायता रेसिपी - grated bottle gourd yogurt salad (recipe in hindi),Vegetarian,"2 कप दही,1 कप लौकी - छीलकर कस ले,1 ककड़ी - छीलकर कास ले,1 हरी - बारीक काट ले,1 हरा धनिया - थोड़ा,1/2 छोटा चमच्च जीरा पाउडर,नमक - स्वाद अनुसार"
homemade tater tots recipe,Vegetarian,"10 Potatoes (Aloo),1 teaspoon Garlic powder,1 teaspoon Onion powder,1 teaspoon Dried oregano,1 tablespoon Coriander (Dhania) Leaves - finely chopped,1 teaspoon Red Chilli flakes,2 tablespoon All Purpose Flour (Maida),1 tablespoon Rice flour,Salt - to taste,Sunflower Oil - for deep frying the tater tots"
चेट्टिनाड वेजिटेबल पुलाव रेसिपी - chettinad vegetable pulao recipe,Vegetarian,"1 कप चावल - पानी में अच्छी तरह से धो ले,12 छोटे प्याज - बारीक काट ले,2 कली लहसुन - कस ले,1 इंच अदरक - कस ले,2 हरी मिर्च - सीधा और पतला काट ले,1 तेज पत्ता - तोड़ ले,1 छोटा चम्मच लाल मिर्च पाउडर,1 छोटा चम्मच हल्दी पाउडर,1 गाजर - काट ले,12 हरा बीन्स - काट ले,2 आलू - छीलकर काट ले,घी - प्रयोग अनुसार,2 लौंग,1 इंच दालचीनी,1 छोटा चम्मच सौंफ,1 छोटा चम्मच पूरी काली मिर्च,1 छोटा चम्मच धनिया के बीज,1/4 कप हरे मटर - भाप ले,1/4 कप पुदीना - बारीक काट ले"
लहसुन आमला चटनी रेसिपी - lehsun amla chutney recipe,Vegetarian,"8 आमला,6 छोटे प्याज,10 कली लहसुन,2 हरी मिर्च,1/2 कप पुदीना,1/2 कप हरा धनिया,नमक - स्वाद अनुसार,1 छोटा चम्मच तेल,1 छोटा चम्मच तेल,1/2 छोटा चम्मच राइ,1/4 छोटा चम्मच उरद दाल,1/4 छोटा चम्मच चना दाल,1 टहनी कढ़ी पत्ता,10 काजू"
maharashtrian kakdi thalipeeth recipe - spiced cucumber flat bread,Diabetic Friendly,"1/2 cup Gram flour (besan),1/2 cup Whole Wheat Flour,1/4 cup Rice flour,1 Cucumber - peeled and grated,1 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 Green Chillies - finely chopped,1/2 cup Coriander (Dhania) Leaves - chopped,5 cloves Garlic - finely chopped,Salt - to taste,Ghee - for smearing on thalipeeth"
homemade healthy subway sandwich recipe with beet & sprout,High Protein Vegetarian,"2 Submarine Bread (Subway Bread) - (flat breads or foot longs),1/2 cup Green Moong Sprouts,1 Beetroot - grated,2 cloves Garlic - grated,1/2 cup Hung Curd (Greek Yogurt),2 tablespoon Coriander (Dhania) Leaves - finely chopped,2 Tomatoes - thinly sliced,2 Stalks Spring Onion (Bulb & Greens) - finely chopped,Tabasco Original - Hot Sauce - to taste,Salt and Pepper - to taste"
south indian style murungakkai poriyal recipe - drumstick stir fry,Vegetarian,"5 Drumstick - cut into 3 inch pieces,1/2 cup Fresh coconut - grated,2 Green Chillies - slit,1 sprig Curry leaves,1 teaspoon Mustard seeds,2 teaspoons Coconut Oil,2 Dry Red Chillies,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Water - as needed"
kesar mango lassi recipe - saffron mango lassi recipe,Vegetarian,"3/4 cup Mango Pulp (Puree),1 cup Curd (Dahi / Yogurt) - (low fat),1 tablespoon Sugar - or honey,2 pinch Saffron strands,3 tablespoons Badam (Almond) - roughly chopped,3 tablespoons Milk - luke warm+more cold milk as needed,Ice cubes - a few"
चेटिनाड मीठा पनियारम रेसिपी - chettinad sweet paniyaram recipe,Vegetarian,"1 कप इडली डोसा मिश्रण,4 बड़े चमच्च चावल का रवा,1/3 कप गुड़,3 बड़े चमच्च नारियल - कस ले,1 बड़ा चमच्च इलाईची पाउडर,नमक - स्वाद अनुसार,पानी - प्रयोग अनुसार,तेल - प्रयोग अनुसार"
mini dal samosa curry/sabzi recipe,Vegetarian,"3 Cardamom (Elaichi) Pods/Seeds,6 Whole Black Peppercorns,1/2 inch Cinnamon Stick (Dalchini),3 cloves Cloves (Laung),1 Mace (Javitri),1 Bay leaf (tej patta),1 Black cardamom (Badi Elaichi),1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,6 Samosas - mini,15 Cashew nuts,1 Green Chilli,1 Onion - roughly chopped,2 Tomato - roughly chopped,1/2 inch Ginger,1/2 teaspoon Sugar,1 tablespoon Fresh cream,2 tablespoons Sunflower Oil"
spinach garlic bruschetta recipe with red bell pepper sauce,Vegetarian,"1 Baguette - sliced,1 1/2 tablespoon Butter,1/2 tablespoon Garlic - minced,1 cup Spinach Leaves (Palak),1 Red Bell pepper (Capsicum) - (optional,1 Tomato - finely chopped,1 Onion - finely chopped (optional),1 tablespoon Black pepper powder - adjust,1 tablespoon Italian seasoning,1 teaspoon Fresh cream,1 cup Cheddar cheese - grated,Salt - to taste,1 tablespoon Roasted tomato pasta sauce"
mini dal pakwan chaat recipe - a perfect party snack,Vegetarian,"1 cup Whole Wheat Flour,1 cup All Purpose Flour (Maida),1 teaspoon Ajwain (Carom seeds),1 teaspoon Cumin seeds (Jeera),2 tablespoons Ghee,Salt - as needed,Sunflower Oil - for deep frying,1 cup Chana dal (Bengal Gram Dal),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Sugar,Salt - as needed,1 tablespoon Ghee,1/4 teaspoon Asafoetida (hing),1 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit,1 sprig Curry leaves,1/4 cup Sweet Chutney (Date & Tamarind),1/4 cup Green Chutney (Coriander & Mint),1 Onion - finely chopped,1/2 cup Fresh Pomegranate Fruit Kernels,1/4 cup Sev"
asian style sweet & spicy green beans recipe,High Protein Vegetarian,"300 grams Green beans (French Beans) - cut into half,3 cloves Garlic - finely chopped,1 tablespoon Soy sauce,2 tablespoons Thai Sweet Chilli Sauce,1 Lemon - juice,2 tablespoons Rice Wine Vinegar,1/4 cup Roasted Peanuts (Moongphali),Salt - to taste,1 tablespoon Sesame (Gingelly) Oil"
chinese darsaan recipe with ice cream,Vegetarian,"1 tablespoon Sunflower Oil,All Purpose Flour (Maida),1/4 teaspoon Baking powder,Water - to make the dough,Sunflower Oil - to deep fry,2 tablespoons Honey,2 tablespoon Sugar,1 tablespoon Sesame seeds (Til seeds) - white,2 tablespoons Water,1/2 teaspoon Vanilla Extract"
सुंडकई मेथी सांबर रेसिपी - sundakkai and methi leaves sambar recipe,Diabetic Friendly,"1/2 कप सुंडकई,1/4 कप मेथी,1/2 कप अरहर दाल - उबालकर मैश कर ले,1/2 टमाटर,1 इमली,1/2 छोटा चम्मच हल्दी पाउडर,2 छोटे चम्मच सांबर पाउडर,1 छोटा चम्मच धनिया पाउडर,1/2 छोटा चम्मच राइ,1/4 छोटा चम्मच जीरा,1 सुखी लाल मिर्च,1/4 छोटा चम्मच हींग,तेल - प्रयोग अनुसार,नमक - स्वाद अनुसार,कढ़ी पत्ता - थोड़ा,हरा धनिया - थोड़ा,पानी - प्रयोग अनुसार"
"cabbage, spinach, pomegranate slaw with lemon dressing recipe",Vegetarian,"1 cup Cabbage (Patta Gobi/ Muttaikose) - shredded,1 cup Spinach - shredded,1 cup Fresh Pomegranate Fruit Kernels,2 Lemon juice,2 tablespoons Extra Virgin Olive Oil,Salt and Pepper - to taste"
matar samosa recipe -green pea samosa,Vegetarian,"1 cup All Purpose Flour (Maida),2 tablespoons Ghee,1/2 teaspoon Salt,Sunflower Oil - for deep frying,2 tablespoons Ghee,1 teaspoon Cumin seeds (Jeera),1 teaspoon Green Chilli Sauce,1/2 teaspoon Cinnamon Powder (Dalchini),1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,2 teaspoon Amchur (Dry Mango Powder),1-1/2 cups Green peas (Matar) - steamed and mashed,Salt - to taste,2 teaspoon All Purpose Flour (Maida),1/4 cup Water"
eggless chocolate cupcakes with raspberry & cheese frosting,Vegetarian,"1 cup All Purpose Flour (Maida),1/2 cup Sugar,1 cup Dark chocolate,1/2 cup Cocoa Powder,1/2 cup Salted butter,3/4 cup Milk,1/2 tablespoon Baking powder,1/2 teaspoon Baking soda,1/2 tablespoon Vanilla Extract,1 cup Britannia Cream Cheese,3/4 cup Caster Sugar,1 teaspoon Vanilla Extract,8 Fresh raspberries"
kerala palada pradhaman recipe,Vegetarian,"1 cup Ada,2 liter Milk - full cream,3/4 cup Sugar,1 tablespoon Ghee,1/2 teaspoon Cardamom Powder (Elaichi)"
tindora sambharo recipe - instant tendli pickle,Vegetarian,"1 cup Tindora (Dondakaya/ Kovakkai) - finely chopped,1 teaspoon Red Chilli powder,1/4 teaspoon Split Methi Seeds (Methi Kuria),1/2 teaspoon Split Mustard Seeds (Rai Kuria),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),1 tablespoon Sunflower Oil,Lemon - juice extracted,Salt - to taste"
chettinad style chicken roast recipe,High Protein Non Vegetarian,"1 Chicken legs,1/4 cup Hung Curd (Greek Yogurt),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Sunflower Oil,1 Onion - sliced,4 cloves Garlic,1/2 inch Ginger,2 tablespoon Fresh coconut - grated,2 teaspoon Cumin seeds (Jeera),2 teaspoons Coriander (Dhania) Seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1/4 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Whole Black Peppercorns,2 Dry Red Chillies,1 teaspoon Fennel seeds (Saunf),1/2 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),1 Cardamom (Elaichi) Pods/Seeds,1/2 teaspoon Mustard seeds,1 tablespoon Ghee,1 teaspoon Tamarind Paste,1 teaspoon Jaggery,1 teaspoon Ghee,1/2 teaspoon Mustard seeds,1 sprig Curry leaves,4 cloves Garlic"
palakottai kuzhambu recipe-kongunad style jackfruit seeds curry,Vegetarian,"1 cup Jackfruit Seeds (Kathal),1 cup Tamarind Water,8 cloves Garlic,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),8 Curry leaves,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,2 teaspoons Sambar Powder,1/4 teaspoon Asafoetida (hing),Coriander (Dhania) Leaves - small bunch,Salt - to taste,2 teaspoons Sunflower Oil,1/2 cup Fresh coconut,10 Whole Black Peppercorns,2 Dry Red Chillies,1 Onion - chopped,1 Tomato - chopped,1 teaspoon Coriander (Dhania) Seeds,1 teaspoon Sunflower Oil"
बैंगन भरता रेसिपी - baingan bharta (recipe in hindi),Vegetarian,"1 बैंगन,2 इंच अदरक - छीलकर कस ले,1 प्याज - बारीक काट ले,1 टमाटर - काट ले,2 हरी मिर्च - बारीक काट ले,1 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च गरम मसाला पाउडर,1 छोटा चमच्च धनिया पाउडर,1 बड़ा चमच्च मक्खन,1 छोटा चमच्च लाल मिर्च पाउडर,नमक - स्वाद अनुसार,1 बड़ा चमच्च तेल,2 टहनी हरा धनिया - बारीक काट ले (गार्निश के लिए)"
kesar chai recipe - a delicious saffron flavored indian tea,Vegetarian,"2 cups Water,1 teaspoon Tea leaves,1/4 cup Milk,10 Saffron strands - or more"
पछा मांगा पचड़ी रेसिपी - tamil nadu raw mango pachadi recipe,Vegetarian,"1 कच्चा आम - बड़ा बड़ा काट ले,1 कप इमली का पानी,1 बड़ा चमच्च गुड़,1 बड़ा चमच्च सांबर पाउडर,1 छोटा चमच्च हल्दी पाउडर,1/2 छोटा चमच्च नमक,1 छोटा चमच्च राइ,हींग - चुटकी भर,1 टहनी कढ़ी पत्ता,2 सुखी लाल मिर्च,तेल - प्रयोग अनुसार"
kodava mudi chekke barthad recipe - raw jackfruit & black chickpea stir fry,Vegetarian,"10 Jackfruit Seeds (Kathal),1 cup Kala Chana (Brown Chickpeas) - soaked overnight,1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1 sprig Curry leaves,1 Tomato - chopped,1/2 cup Tamarind Water,1 teaspoon Turmeric powder (Haldi),4 Dry Red Chillies,1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander (Dhania) Seeds,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1/2 cup Fresh coconut,1 inch Ginger,4 cloves Garlic"
whole wheat crepe recipe with herbed vegetables,Vegetarian,"1 cup Whole Wheat Flour,1 pinch Salt,1 teaspoon Italian seasoning,1/4 cup Cheese spread - flavoured,1 Broccoli - cut into florets,1 Onion - thinly sliced,1 Red Bell pepper (Capsicum) - diced,Salt - to taste,2 sprig Parsley leaves - roughly chopped"
makki and methi roti recipe,Vegetarian,"2 cups Makki Ka Atta (Yellow Corn Meal Flour),1 1/2 cups Methi Leaves (Fenugreek Leaves) - chopped,2 Green Chillies - chopped,1 tablespoon Ajwain (Carom seeds),1 tablespoon Kashmiri Red Chilli Powder,Salt - to taste"
cabbage and carrot sambharo recipe - gujarati vegetable stir fry,Vegetarian,"3 Carrots (Gajjar) - grated,3 cups Cabbage (Patta Gobi/ Muttaikose) - shredded,1 Green Bell Pepper (Capsicum) - thinly sliced,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Sugar,1 teaspoon Lemon juice,Salt - to taste,1 teaspoon Sunflower Oil,1 teaspoon Mustard seeds,1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves,3 Green Chillies - slit lengthwise"
whole wheat pita bread recipe,Vegetarian,"1-1/2 cups All Purpose Flour (Maida),1-1/2 cups Whole Wheat Flour,2 teaspoons Active dry yeast,1/2 teaspoons Salt,1-1/2 teaspoons Sugar,1-1/4 cups Lukewarm Water,2 tablespoons Extra Virgin Olive Oil"
andhra style tamati pachadi recipe (tomato chutney),Vegetarian,"1 kg Tomatoes,8 Dry Red Chillies - adjustable,1 teaspoon Tamarind Paste,2 teaspoons Red Chilli powder - optional,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Mustard seeds,1 teaspoon Methi Seeds (Fenugreek Seeds),8 cloves Garlic,Sunflower Oil,Salt - to taste"
हर्ब ब्राउन राइस रेसिपी - herbed brown rice recipe,Vegetarian,"1-1/2 कप ब्राउन राइस,2 प्याज - बारीक काट ले,4 लॉन्ग लहसुन - बारीक काट ले,3 छोटे चम्मच ऑरेगानो,3 छोटे चम्मच रोसमेरी,4 छोटे चम्मच रेड चिल्ली फलैक्स,नमक - स्वाद अनुसार,तेल,पानी - प्रयोग अनुसार"
aamras recipe - ripe mango ras,Vegan,"3 cups Mango (Ripe) - cut into pieces,1/4 cup Water,Sugar - optional"
rajasthani khooba roti recipe,Vegetarian,"1 cup Whole Wheat Flour,Salt - to taste,Water - as required,Ghee - as required"
peerkangai thogayal recipe (ridge gourd peel chutney),Vegetarian,"2 cups Ridge Gourd Skin (Turai/ Peerkangai),2 teaspoons White Urad Dal (Split),5 Methi Seeds (Fenugreek Seeds),3 Dry Red Chillies,10 Curry leaves,30 grams Tamarind,1/4 teaspoon Mustard seeds,2 Dry Red Chillies,3-4 Curry leaves,1 teaspoon Sunflower Oil,Salt - to taste"
दलिया पकोरा रेसिपी - dalia pakora recipe,Vegetarian,"1 cup Broken Wheat (Dalia/ Godumai Rava),Salt - to taste,1/2 teaspoon Sunflower Oil,1/3 cup Gram flour (besan),1 Onion - finely chopped,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - finely chopped,Salt - to taste,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Ajwain (Carom seeds),1 tablespoon Sunflower Oil,Water - as required to make a thick pakora batter,1 teaspoon Enos fruit salt,Sunflower Oil - as required to fry the pakoras"
paneer tikka kathi roll recipe,Vegetarian,"2 cups Whole Wheat Flour,Salt - to taste,Ghee - for cooking,1 tablespoon Ghee - for cooking,200 grams Paneer (Homemade Cottage Cheese) - thinly sliced,1/4 cup Hung Curd (Greek Yogurt),1 tablespoon Gram flour (besan),1 inch Ginger - finely chopped,4 cloves Garlic - finely chopped,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Chaat Masala Powder,1 teaspoon Garam masala powder,1/4 cup Mint Leaves (Pudina) - finely chopped,Salt - to taste,1 Coal - for giving a smoked flavour,1/4 cup Mint Leaves (Pudina) - chopped,1 Green Bell Pepper (Capsicum) - thinly sliced,2 Onion - thinly sliced,1/2 Lemon - juice extracted,Salt - to taste"
pan fried rice balls filled with cheese recipe,Vegetarian,"2 tablespoon Extra Virgin Olive Oil,2 tablespoon Butter (unsalted),1 Onion - finely chopped,2 cups Jasmine Rice,1 teaspoon Salt,1 cup Sweet corn,1/4 cup Parsley leaves - finely chopped,1 cup Parmesan cheese - grated,1 cup Mozzarella cheese - cut into small cubes,1 cup All Purpose Flour (Maida),3 Whole Eggs - beaten with a fork,1 cup Whole Wheat Bread crumbs,Sunflower Oil - for deep frying"
spicy seafood stew casserole with tomatoes and lime recipe,Non Vegeterian,"250 grams Fish fillet - basa,250 grams Prawns,15 Clamps,5 Baby Potatoes,2 Carrots (Gajjar),1 Onion,1 Tomato,2 Fresh Red chillies,5 cloves Garlic,1 teaspoon Cumin powder (Jeera),2 teaspoon Paprika powder,Salt - to taste,1 tablespoon Lemon juice,1 teaspoon Black pepper powder,4 tablespoon Coriander (Dhania) Leaves,1 tablespoon Extra Virgin Olive Oil,1 cup Chicken stock,1/4 cup Coconut milk"
spicy chilli garlic noodles recipe,Vegetarian,"500 grams Hakka Noodles,Water - as required,1/2 teaspoon Salt,1 tablespoon Sunflower Oil,Sunflower Oil - as required,1 Onion - thinly sliced,1 Green Bell Pepper (Capsicum) - thinly sliced,15 cloves Garlic - crushed,1 teaspoon Soy sauce,1 tablespoon Red Chilli sauce,1/2 teaspoon White vinegar,1 tablespoon Tomato Ketchup,3 Dry Red Chillies - crushed (chilli flakes),Salt - as required,1/2 teaspoon Black pepper powder"
chanar dalna recipe -bengali style paneer & potato gravy,Vegetarian,"200 grams Paneer (Homemade Cottage Cheese) - cut into cubes,2 Potato (Aloo) - peeled and cut into cubes,2 Bay leaf (tej patta),2 Dry Red Chilli,1 tablespoon Panch Phoran Masala - roasted and powdered,1 Tomato - big sized,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Cumin seeds (Jeera) - roasted and powdered,1 teaspoon Ginger - grated,Salt - to taste,1/2 teaspoon Sugar,Sunflower Oil - as required"
cheesy garlic broccoli nuggets recipe,Eggetarian,"1-1/2 cups Broccoli - florets,1/2 cup Mozzarella cheese,1 tablespoon Nutralite Cheesy Garlic Mayo,2 tablespoons Corn flour,1/4 cup Whole Wheat Bread crumbs,Salt - to taste,Nutralite Garlic & Oregano Spread - for pan roasting"
